"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"GQ — мужской журнал","gq.ru","Здоровье, красота, стиль, Новости и СМИ","Контентные проекты","да","36627","50550","00:03:34","0.0","1981"
"Cataloxy - каталог фирм и организаций, бесплатное...","cataloxy.ru","Бизнес->Реклама и маркетинг, Бизнес","Агрегаторы","да","36421","49500","00:01:37","0.0","1453"
"Бизнес идеи с нуля, Бизнес планы, Деньги, Как открыть...","businessman.ru","Бизнес->Организация бизнеса, Бизнес","Контентные проекты","да","36208","48000","00:01:21","0.0","1375"
"Бухучет, налогообложение и аудит РФ","audit-it.ru","Финансы->Финансовые новости, Новости и СМИ->Финансовые новости, Новости и СМИ, Финансы","Сервисы","да","35576","49550","00:04:05","0.0","1888"
"Novate.ru — сайт о дизайне и искусстве","novate.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Контентные проекты","да","34361","44650","00:01:48","0.0","1516"
"Россия — государственный телеканал","russia.tv","Новости и СМИ, Новости и СМИ->Телевидение","Представительства бизнесов и организаций","да","34285","47200","00:03:58","0.0","1993"
"«Сплетник» — сайт о знаменитостях и светской жизни","spletnik.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Контентные проекты","да","33595","46450","00:05:38","0.0","1564"
"Секрет фирмы — интернет-журнал о бизнесе","secretmag.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Контентные проекты","да","33468","46050","00:04:55","0.0","1780"
"Avia.pro - портал по авиации №1","avia.pro","Транспорт, перевозки, Транспорт, перевозки->Воздушный транспорт","Контентные проекты","да","33290","44000","00:02:16","0.0","1872"
"«Soccer.ru» — новости футбола России и Европы","soccer.ru","Спорт и активный образ жизни, Спорт и активный образ жизни->Футбол","Новости","да","32192","100700","00:29:50","0.0","3191"
