"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"Яндекс.Путешествия — сервис поиска туров и отелей","travel.yandex.ru","Путешествия->Туры и экскурсии, Путешествия","Агрегаторы","да","24423","32550","00:03:37","0.0","1062"
"Актуальные новости","actualnews.org","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","24236","31150","00:00:42","0.0","1104"
"Форум программистов и сисадминов Киберфорум","cyberforum.ru","Техника и технологии, Техника и технологии->Программирование и разработка ПО","Сообщества","да","24183","35500","00:10:30","0.0","1604"
"101 отель — служба бронирования гостиниц","101hotels.ru","Путешествия->Гостиницы, отели и кемпинги, Путешествия","Агрегаторы","да","24090","32100","00:05:11","0.0","995"
"GQ — мужской журнал","gq.ru","Здоровье, красота, стиль, Новости и СМИ","Контентные проекты","да","23451","32250","00:02:47","0.0","1184"
"«ИноСМИ.ru» — переводы публикаций зарубежных СМИ","inosmi.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","23219","30600","00:04:04","0.0","1193"
"«Муз-ТВ» — музыкально-развлекательный телеканал","muz-tv.ru","Развлечения и отдых, Развлечения и отдых->Музыка онлайн","Видео","да","23105","30500","00:01:18","0.0","1014"
"«Forumhouse.ru» — форум для дома и дачи","forumhouse.ru","Строительство и ремонт->Советы и рекомендации по строительству, Строительство и ремонт","Сообщества","да","21772","29700","00:12:19","0.0","1245"
"Справочник организаций Россиии и СНГ - адреса...","jsprav.ru","Справочные ресурсы, Справочные ресурсы->Почтовые индексы и телефонные коды","Контентные проекты","да","21584","27800","00:01:41","0.0","795"
"«Newsru.com» — новостной портал","newsru.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","21345","29200","00:13:04","0.0","1556"
"Elle girl — журнал для девушек","ellegirl.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","21099","31200","00:02:14","0.0","938"
"Новости кинематографа и телевидения. — Рамблер/кино","kino.rambler.ru","Развлечения и отдых->Фильмы онлайн, Развлечения и отдых","Видео","да","20818","28450","00:08:04","0.0","1455"
"Novate.ru — сайт о дизайне и искусстве","novate.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Контентные проекты","да","20440","26350","00:01:46","0.0","868"
"Детские пособия в 2018 году - вся информация о выплатах...","posobie-expert.ru","Государство и общество, Государство и общество->Органы социальной защиты","Контентные проекты","да","20253","26950","00:04:23","0.0","818"
"Канобу - сайт про современные развлечения","kanobu.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","19697","25750","00:03:07","0.0","990"
"Педагогическое сообщество «Урок.рф»","урок.рф","Образование->Сайты педагогов, Образование","Контентные проекты","да","19596","31000","00:03:01","0.0","1129"
"HipDir — заведения и услуги Москвы","hipdir.com","Справочные ресурсы","Агрегаторы","да","19532","25050","00:02:17","0.0","705"
"Eurasia Daily — информационное агентство","eadaily.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","18685","24150","00:01:36","0.0","840"
